ID	GENE	ENSEMBLE	TCGA_AML_FEMALE	TCGA_AML_MALE	TCGA_DEAD	TCGA_ALIVE	GTEX_BLOOD	GTEX_BLOOD_VESSEL	GTEX_BONE_MARROW	GTEX_MUSCLE			
CA-CS-19-58352282-58352555.8367.1	A1BG	ENST00000600966.1	100	0	0	100	0	0.4	0	0	100	953148.5728	
CA-CS-19-58353713-58353857.7507.0	A1BG-AS1	ENST00000600379.5	83.33333333	16.66666667	66.66666667	33.33333333	2.310756972	12.8	17.54385965	0.842105263	100	478774.4369	
CA-CA-12-9112158-9112211.845.0	A2M	XM_006719056.2	31.25	68.75	68.75	31.25	1.832669323	42.13333333	1.754385965	25.89473684	71.61512546		
CA-CA-12-9065825-9066060.10441.0	A2M-AS1	ENST00000499762.2	38.0952381	61.9047619	71.42857143	28.57142857	0.3187251	36.13333333	0	6.315789474	42.7678479	1431923.01	
CA-CS-12-53308434-53308528.238.0	AAAS	-	45.71428571	54.28571429	64.57142857	35.42857143	7.80876494	42.13333333	50	25.89473684	125.8368351		
CA-CA-12-125102678-125102793.1215.0	AACS	NM_001319839.1	44.11764706	55.88235294	65.44117647	34.55882353	6.374501992	41.86666667	49.12280702	24.42105263	121.7850283		
CA-CA-3-151775694-151775764.2954.0	AADACP1	ENST00000483636.5	80	20	80	20	0	0.4	0	0.210526316	0.610526316		
CA-CS-4-170089623-170089736.2529.2	AADAT	ENST00000507375.5	0	100	0	100	0	1.466666667	0	0.210526316	1.677192983		
CA-CA-9-96651658-96651712.3548.0	AAED1	ENST00000411939.5	46.2962963	53.7037037	65.43209877	34.56790123	6.772908367	42.13333333	50	25.26315789	124.1693996		
CA-CA-15-67203547-67203597.3096.0	AAGAB	ENST00000542650.5	50	50	66.66666667	33.33333333	0.3187251	2.666666667	2.631578947	0.842105263	6.459075977		
CA-CA-2-69530624-69530706.632.0	AAK1	-	45.12195122	54.87804878	64.02439024	35.97560976	5.737051793	34.4	47.36842105	22.94736842	110.4528413		
CA-CS-11-77842478-77842628.382.7	AAMDC	-	50	50	72	28	4.541832669	42.13333333	49.12280702	25.89473684	121.6927099		
CA-CA-2-218265019-218265174.509.0	AAMP	ENST00000422731.1	52.17391304	47.82608696	65.2173913	34.7826087	5.657370518	34.53333333	45.61403509	19.36842105	100		
CA-CA-20-36244696-36244926.1110.0	AAR2	-	45.71428571	54.28571429	64.57142857	35.42857143	7.410358566	42.13333333	50	25.47368421	100		
CA-CA-16-70254620-70254734.201.0	AARS	-	45.97701149	54.02298851	64.94252874	35.05747126	7.888446215	42.13333333	50	25.89473684	100		
CA-CA-6-44303065-44303175.148.0	AARS2	XM_011514764.2	41.54929577	58.45070423	61.97183099	38.02816901	5.737051793	40	50	24.21052632	100		
CA-CA-4-56382476-56382597.605.0	AASDH	XM_017007740.1	43.93939394	56.06060606	67.42424242	32.57575758	4.701195219	38.4	49.12280702	19.78947368	100		
CA-CA-11-106094582-106094654.1979.0	AASDHPPT	ENST00000525660.1	44.44444444	55.55555556	68.05555556	31.94444444	5.099601594	35.06666667	47.36842105	11.36842105	100		
